EPU,Min 2020,Survey Priority 2020,Est Popn April 2020,Target Popn,Est Popn Trend,GPS Collars 2020,GPS Collars 2021
Brem,,n,1,42,S-D,0,0
Brittain,,n,50,50,S,0,0
Chehalis,,n,98,211,S-I,3,3
Clowhom,33,y,50,88,S,2,3
Daniels,,n,61,61,S,0,0
Deserted,42,y,57,141,S,1,1
Eldred,,n,,80,S,0,0
Haslam,,n,133,187,S-I,0,0
Homathko,88,y,108,253,S-I,1,1
Indian,42,y,54,56,S,0,0
Lois,,n,,148,S,0,0
Lower Lillooet,,n,53,219,S-I,0,0
Mamquam,,y,,55,S-I,0,0
McNab,32,n,74,90,S,1,1
Orford,84,y,118,116,S-I,0,0
Pitt,,n,203,168,S,2,2
Quatam,,n,33,79,S,0,0
Rainy-Gray,130,y,160,134,S-I,3,3
Sechelt Peninsula,167,y,222,200,S,3,8
Skwawka,49,y,68,81,S,1,5
Southgate,38,y,76,114,S-I,0,0
Squamish,56,y,124,172,S-I,1,1
Stave,57,y,81,54,S,3,3
Theodosia,,n,81,183,S,0,0
Toba,59,y,85,278,S-I,2,2
Narrows,,n,50,98,S,1,2
Vancouver,40,y,50,72,S,2,4
