OID,Unit,Shape_Leng,Shape_Area
-1,Alouette,104356.616037221800070,406493319.240393221378326
-1,Bear,136068.670092348649632,510309621.219657421112061
-1,Brem,106789.025011824647663,354804574.821584463119507
-1,Brittain,131487.541198321036063,405174268.040855288505554
-1,Cap-Seymour,125642.205272659994080,633000127.058337807655334
-1,Chehalis,225388.127482893731212,1302858676.968880414962769
-1,Clowhom,144051.323457193851937,534275444.086380541324615
-1,Coquitlam,95526.727696125672082,300344960.320490717887878
-1,Deserted-Stakawus,149962.204104479198577,480951988.243194401264191
-1,East Knight,10533.505106494363645,1308180.998669188236818
-1,Eldred,138932.712674563343171,505188389.708168685436249
-1,Franklin,53071.953524560471124,1676471.814320620382205
-1,Haslam,105622.631970531700063,593165745.908467531204224
-1,Hat,99845.718672408271232,263736630.476450949907303
-1,Homathko,231890.784609792812262,1838740672.233431339263916
-1,Indian,98537.412096705200383,323917554.743329524993896
-1,Lois,103471.055548673422891,460779322.251729309558868
-1,Lower Lillooet,245211.176210811681813,1692848924.277768135070801
-1,Mamquam,284840.425798300071619,1504796058.266939401626587
-1,McNab,115206.759623106147046,381590216.665125966072083
-1,Moh,80424.379419551987667,279306597.554264664649963
-1,Nelson,89348.014742520026630,237392879.512954443693161
-1,Orford,151803.998840603686403,679650132.005643367767334
-1,Phillips,107013.377995065238792,34931.104666424085735
-1,Pitt,193364.519976218638476,851029488.230453848838806
-1,Powell-Daniels,122415.497965794435004,485917771.178417682647705
-1,Quadra,1046.121413126668131,6977.732412557714269
-1,Quatam,112082.125348283647327,583284581.058694124221802
-1,Rainy-Gray,111949.716251819889294,615163906.148451089859009
-1,Redonda Islands,103135.427011699226568,509951239.855962038040161
-1,Sechelt Peninsula,97521.498298378792242,525012147.542288303375244
-1,Skwawka,141907.443029241345357,535536280.840831041336060
-1,Southgate,350237.890338596713264,2009592687.647472143173218
-1,Squamish,356804.454343744670041,2444796004.181031703948975
-1,Stafford/Apple,48714.381377549150784,67113.558242295956006
-1,Stave,194583.396617865131702,659079420.508145093917847
-1,Theo,182134.598557044897461,833737876.235297441482544
-1,Toba,265777.384923665085807,2032320542.207518339157104
-1,Tzoonie-Narrows,121128.750631348273600,401332741.348695516586304
-1,Upper Lillooet,541220.004361966508441,4820868036.595853805541992
-1,Vancouver,114475.446995933627477,361143141.346364855766296
