OID,begin,Unit,Shape_Leng,Shape_Area
-1,2016/03/07 17:07:58.029,Squamish,236611.823973002261482,104916688.848879128694534
-1,2016/03/11 17:29:24.069,Brittain,143531.132667366269743,37900451.917111545801163
-1,2016/03/11 17:29:24.069,Skwawka,110054.382551991657238,33779042.615637689828873
-1,2016/03/11 17:29:24.069,Tzoonie-Narrows,177629.166957368201111,54374659.351711578667164
-1,2016/03/14 17:24:03.059,Deserted-Stakawus,168874.106452230800642,48295973.170314244925976
-1,2016/03/14 17:24:03.059,Skwawka,112749.828805806973833,33949793.094439089298248
-1,2016/03/14 17:24:03.059,Toba,206485.113790762057761,73238178.240517973899841
-1,2016/03/14 17:24:03.059,Vancouver,149995.099002984265098,48151076.710189379751682
-1,2016/03/16 14:02:18.073,Chehalis,304298.513992217893247,90301026.972613871097565
-1,2016/03/16 14:02:18.073,Lower Lillooet,133868.971146038937150,41000613.359714940190315
-1,2016/03/17 21:07:35.060,Sechelt Peninsula,406784.669619672000408,130640173.642067804932594
-1,2016/03/17 21:07:35.060,Tzoonie-Narrows,96800.379756057402119,25526529.599336575716734
-1,2016/03/22 16:06:13.664,Brittain,49388.021893690063735,12722563.278608584776521
-1,2016/03/22 16:06:13.664,Deserted-Stakawus,177479.147966684889980,56313848.649361036717892
-1,2016/03/22 16:06:13.664,Skwawka,111974.006835403706646,35054756.975316159427166
-1,2016/03/22 16:06:13.664,Tzoonie-Narrows,109149.069851353517151,29977351.992487683892250
-1,2016/03/22 16:06:13.664,Vancouver,111860.990159410212073,34007883.855243511497974
-1,2016/03/29 15:20:04.813,Brittain,56210.817805354214215,14490958.480779793113470
-1,2016/03/29 15:20:04.813,Homathko,187990.867332149791764,58371789.872732453048229
-1,2016/03/29 15:20:04.813,Southgate,242599.352204957336653,69071216.167417973279953
-1,2016/03/29 15:20:04.813,Vancouver,100097.881890625722008,28126206.917994346469641
