OID,begin,Unit,Shape_Length,Shape_Area
-1,2020/02/27 21:56:15.003,Clowhom,190709.212681717501255,59094899.317394167184830
-1,2020/02/27 21:56:15.003,Rainy-Gray,76802.950778388199979,24287884.938900787383318
-1,2020/03/03 21:58:46.001,Vancouver,76520.605544575533713,24784172.122117396444082
-1,2020/03/04 23:17:12.998,Rainy-Gray,86985.896548540957156,22441405.435134924948215
-1,2020/03/04 23:17:12.998,Squamish,196412.626840311102569,67972908.487685725092888
-1,2020/03/09 21:31:15.026,Deserted-Stakawus,130843.436833578671212,43361960.745333142578602
-1,2020/03/09 21:31:15.026,Skwawka,121478.084317742876010,37806342.574305452406406
-1,2020/03/10 18:54:54.000,Rainy-Gray,158616.731899681588402,45675454.055629812180996
-1,2020/03/10 18:54:54.000,Sechelt Peninsula,63227.475854525910108,18767130.453806113451719
-1,2020/03/10 18:54:54.000,Vancouver,38037.424776621075580,11162701.195673100650311
-1,2020/03/11 16:20:40.994,Indian,94771.873780556226848,28291543.879378080368042
-1,2020/03/11 16:20:40.994,Sechelt Peninsula,3116.968289309356805,586125.282655018963851
-1,2020/03/11 16:20:40.994,Squamish,18790.907365790397307,4070117.257403400726616
-1,2020/03/11 16:20:40.994,Stave,89089.998423523342353,31030370.573095303028822
-1,2020/03/17 16:29:48.999,Homathko,166902.153017908567563,62599185.822664625942707
-1,2020/03/18 14:43:01.985,Homathko,28693.907386954400863,8793112.779694914817810
-1,2020/03/18 14:43:01.985,Orford,153344.078828270838130,55371303.966870076954365
-1,2020/03/18 14:43:01.985,Southgate,100671.909224331000587,50166195.582289002835751
-1,2020/03/19 14:56:45.296,Orford,78841.321462176492787,20856908.071526128798723
-1,2020/03/19 14:56:45.296,Skwawka,86947.265968697698554,23767880.902931787073612
-1,2020/03/19 14:56:45.296,Toba,258453.313536205649143,96372650.393534153699875
-1,2020/03/19 14:56:45.296,Vancouver,51528.202819197693316,14276023.561381865292788
-1,2020/03/23 21:19:13.005,Clowhom,55748.640540395375865,17637553.005049940198660
-1,2020/03/23 21:19:13.005,Sechelt Peninsula,466141.075326557154767,145480636.677139371633530
-1,2020/03/24 19:15:10.996,Clowhom,105444.765759506117320,29780787.216920621693134
-1,2020/03/24 19:15:10.996,Deserted-Stakawus,90904.499863648874452,28066978.776781596243382
-1,2020/03/24 19:15:10.996,Rainy-Gray,199163.333374978945358,53642337.003385171294212
-1,2020/03/24 19:15:10.996,Skwawka,117678.598354428992025,37026204.161531470716000
