EPU Unit Name,EPU Land Area (Ha),EPU Land Area (km2),Population Density Class,Population Estimate (2012),Population Density Class (2012),EWR Requirement,EWR available quality,Forage cover availability,Forage cover interspersion,Population Resiliency,Predation Risk,Unregulated Hunting,Region Name
Alouette,"34,824.46",348.24,Rare to Absent,3,Low,High,Moderate,Moderate,Moderate,Low,Low,High,South Coast Natural Resource Region
Bear,"16,858.93",168.59,Rare to Absent,3,Low,High,Low,Low,Low,Low,High,Low,South Coast Natural Resource Region
Brem,"32,151.61",321.52,Rare to Absent,25,Low,High,Low,Low,Low,Low,High,Low,South Coast Natural Resource Region
Brittain,"29,580.04",295.8,Rare to Absent,50,Medium,Moderate,Low,Low,Low,"{Low .2, Moderate .8}",Low,Low,South Coast Natural Resource Region
Cap-Seymour,"56,806.63",568.07,Rare to Absent,5,Low,High,Moderate,Low,Low,Low,Low,Low,South Coast Natural Resource Region
Chehalis,"116,110.73","1,161.11",Rare to Absent,3,Rare to Absent,High,Low,High,High,"{Low .5, Moderate .5}",Low,High,South Coast Natural Resource Region
Chilliwack,"104,378.12","1,043.78",Rare to Absent,5,Low,Low,Low,Moderate,Moderate,Low,High,High,South Coast Natural Resource Region
Theo,"64,124.68",641.25,Rare to Absent,30,Low,Low,Moderate,High,Low,Low,Low,Low,South Coast Natural Resource Region
Clowhom,"45,847.94",458.48,Rare to Absent,60,Medium,High,Low,Moderate,Moderate,Moderate,Low,Low,South Coast Natural Resource Region
Coquitlam,"25,859.05",258.59,Rare to Absent,5,Low,High,Moderate,Low,Low,Low,Low,Low,South Coast Natural Resource Region
Deserted,"32,080.95",320.81,Rare to Absent,70,Medium,High,Low,Moderate,Moderate,Moderate,High,Low,South Coast Natural Resource Region
East Harrison,"337,764.84","3,377.65",Rare to Absent,5,Rare to Absent,High,High,Moderate,Low,Low,High,Low,South Coast Natural Resource Region
Eldred,"46,192.91",461.93,Rare to Absent,25,Low,High,Low,Low,Moderate,Low,Low,Low,South Coast Natural Resource Region
Greater Van,"319,342.79","3,193.43",Rare to Absent,0,Rare to Absent,,,,,,,,South Coast Natural Resource Region
Haslam-Dodd,"47,468.60",474.69,Rare to Absent,125,Medium,Moderate,Low,High,High,Moderate,High,High,South Coast Natural Resource Region
